mcts_task_by_completion_reward_gradient,2,2,100,111.596,3736.44
mcts_task_by_completion_reward_gradient,2,2,100,123.405,3813.04
mcts_task_by_completion_reward_gradient,2,2,100,148.397,3864.64
mcts_task_by_completion_reward_gradient,3,2,100,5.99598,194.004
mcts_task_by_completion_reward_gradient,3,2,100,10.8786,383.125
mcts_task_by_completion_reward_gradient,3,2,100,18.5983,564.527
mcts_task_by_completion_reward_gradient,3,2,100,19.7965,744.731
mcts_task_by_completion_reward_gradient,3,2,100,22.0862,922.644
mcts_task_by_completion_reward_gradient,3,2,100,25.6774,1096.97
mcts_task_by_completion_reward_gradient,3,2,100,26.9982,1269.97
mcts_task_by_completion_reward_gradient,3,2,100,31.4861,1438.48
mcts_task_by_completion_reward_gradient,3,2,100,33.9977,1604.48
mcts_task_by_completion_reward_gradient,3,2,100,39.2871,1765.2
mcts_task_by_completion_reward_gradient,3,2,100,46.9957,1918.2
mcts_task_by_completion_reward_gradient,3,2,100,55.3968,2062.81
mcts_task_by_completion_reward_gradient,3,2,100,59.9969,2202.81
mcts_task_by_completion_reward_gradient,3,2,100,67.088,2335.72
mcts_task_by_completion_reward_gradient,3,2,100,73.7955,2461.92
mcts_task_by_completion_reward_gradient,3,2,100,76.6872,2585.24
mcts_task_by_completion_reward_gradient,3,2,100,80.6871,2704.55
mcts_task_by_completion_reward_gradient,3,2,100,91.2858,2813.26
mcts_task_by_completion_reward_gradient,3,2,100,100.396,2912.87
mcts_task_by_completion_reward_gradient,3,2,100,102.486,3010.38
mcts_task_by_completion_reward_gradient,3,2,100,107.688,3102.69
mcts_task_by_completion_reward_gradient,3,2,100,113.887,3188.81
mcts_task_by_completion_reward_gradient,3,2,100,114.798,3274.01
mcts_task_by_completion_reward_gradient,3,2,100,164.086,3309.92
mcts_task_by_completion_reward_gradient,4,2,100,7.19443,192.806
mcts_task_by_completion_reward_gradient,4,2,100,9.41608,383.389
mcts_task_by_completion_reward_gradient,4,2,100,16.076,567.313
mcts_task_by_completion_reward_gradient,4,2,100,20.4364,746.877
mcts_task_by_completion_reward_gradient,4,2,100,24.6631,922.214
mcts_task_by_completion_reward_gradient,4,2,100,34.5942,1087.62
mcts_task_by_completion_reward_gradient,4,2,100,35.2555,1252.36
mcts_task_by_completion_reward_gradient,4,2,100,36.8152,1415.55
mcts_task_by_completion_reward_gradient,4,2,100,43.414,1572.14
mcts_task_by_completion_reward_gradient,4,2,100,43.7943,1728.34
mcts_task_by_completion_reward_gradient,4,2,100,46.1946,1882.15
mcts_task_by_completion_reward_gradient,4,2,100,55.5951,2026.55
mcts_task_by_completion_reward_gradient,4,2,100,69.595,2156.96
mcts_task_by_completion_reward_gradient,4,2,100,79.9946,2276.96
mcts_task_by_completion_reward_gradient,4,2,100,94.4144,2382.55
mcts_task_by_completion_reward_gradient,4,2,100,98.7947,2483.75
mcts_task_by_completion_reward_gradient,4,2,100,108.394,2575.36
mcts_task_by_completion_reward_gradient,4,2,100,122.394,2652.96
mcts_task_by_completion_reward_gradient,4,2,100,137.194,2715.77
mcts_task_by_completion_reward_gradient,5,2,100,0.597111,199.403
mcts_task_by_completion_reward_gradient,5,2,100,3.99772,395.405
mcts_task_by_completion_reward_gradient,5,2,100,9.19649,586.209
mcts_task_by_completion_reward_gradient,5,2,100,16.1976,770.011
mcts_task_by_completion_reward_gradient,5,2,100,20.4679,949.543
mcts_task_by_completion_reward_gradient,5,2,100,25.2669,1124.28
mcts_task_by_completion_reward_gradient,5,2,100,25.9971,1298.28
mcts_task_by_completion_reward_gradient,5,2,100,29.0059,1469.27
mcts_task_by_completion_reward_gradient,5,2,100,34.2074,1635.07
mcts_task_by_completion_reward_gradient,5,2,100,37.194,1797.87
mcts_task_by_completion_reward_gradient,5,2,100,39.6061,1958.27
mcts_task_by_completion_reward_gradient,5,2,100,48.2266,2110.04
mcts_task_by_completion_reward_gradient,5,2,100,50.2061,2259.83
mcts_task_by_completion_reward_gradient,5,2,100,51.8075,2408.03
mcts_task_by_completion_reward_gradient,5,2,100,61.5975,2546.43
mcts_task_by_completion_reward_gradient,5,2,100,61.8279,2684.6
mcts_task_by_completion_reward_gradient,5,2,100,68.2253,2816.38
mcts_task_by_completion_reward_gradient,5,2,100,68.6073,2947.77
mcts_task_by_completion_reward_gradient,5,2,100,82.1971,3065.57
mcts_task_by_completion_reward_gradient,5,2,100,100.435,3165.14
mcts_task_by_completion_reward_gradient,5,2,100,104.797,3260.34
mcts_task_by_completion_reward_gradient,5,2,100,112.227,3348.11
mcts_task_by_completion_reward_gradient,5,2,100,124.028,3424.08
mcts_task_by_completion_reward_gradient,5,2,100,126.826,3497.26
mcts_task_by_completion_reward_gradient,5,2,100,134.407,3562.85
mcts_task_by_completion_reward_gradient,5,2,100,148.807,3614.04
mcts_task_by_completion_reward_gradient,5,2,100,179.795,3634.25
mcts_task_by_completion_reward_gradient,1,2,100,4.43575,195.564
mcts_task_by_completion_reward_gradient,1,2,100,4.80446,390.76
mcts_task_by_completion_reward_gradient,1,2,100,7.18617,583.574
mcts_task_by_completion_reward_gradient,1,2,100,8.03573,775.538
mcts_task_by_completion_reward_gradient,1,2,100,12.2359,963.302
mcts_task_by_completion_reward_gradient,1,2,100,15.4052,1147.9
mcts_task_by_completion_reward_gradient,1,2,100,20.4356,1327.46
mcts_task_by_completion_reward_gradient,1,2,100,24.1851,1503.28
mcts_task_by_completion_reward_gradient,1,2,100,33.7848,1669.49
mcts_task_by_completion_reward_gradient,1,2,100,39.2051,1830.29
mcts_task_by_completion_reward_gradient,1,2,100,41.1849,1989.1
mcts_task_by_completion_reward_gradient,1,2,100,43.5851,2145.52
mcts_task_by_completion_reward_gradient,1,2,100,51.0359,2294.48
mcts_task_by_completion_reward_gradient,1,2,100,72.9846,2421.5
mcts_task_by_completion_reward_gradient,1,2,100,76.3849,2545.11
mcts_task_by_completion_reward_gradient,1,2,100,87.7848,2657.33
mcts_task_by_completion_reward_gradient,1,2,100,93.0357,2764.29
mcts_task_by_completion_reward_gradient,1,2,100,112.236,2852.05
mcts_task_by_completion_reward_gradient,1,2,100,123.984,2928.07
mcts_task_by_completion_reward_gradient,1,2,100,152.185,2975.89
mcts_task_by_completion_reward_gradient,1,2,100,166.585,3009.3
mcts_task_by_completion_reward_gradient,2,2,100,10.2267,189.773
mcts_task_by_completion_reward_gradient,2,2,100,11.4258,378.348
mcts_task_by_completion_reward_gradient,2,2,100,13.7956,564.552
mcts_task_by_completion_reward_gradient,2,2,100,16.5961,747.956
mcts_task_by_completion_reward_gradient,2,2,100,20.0166,927.939
mcts_task_by_completion_reward_gradient,2,2,100,23.0359,1104.9
mcts_task_by_completion_reward_gradient,2,2,100,23.6157,1281.29
mcts_task_by_completion_reward_gradient,2,2,100,24.4756,1456.81
