6,1.3180887302,0.0505991024,0.9192758255,0.4610101146,0.254048124,2974.252,5
6,1.2247827245,0.0518897108,0.9999999,0.5170323128,0.2772108002,2952.232,5
7,1.1717150866,0.0556320899,0.9999999,0.5067464117,0.254048124,3032.68,5
7,1.1751213518,0.0556320899,0.9999999,0.468030931,0.2313502805,3021.034,5
7,1.1717150866,0.0580826548,0.9999999,0.5480515116,0.2331897899,2998.724,5
7,1.1254348409,0.0551040054,0.9999999,0.4547135387,0.2649680013,2795.69,5
7,1.0905153023,0.0579699258,0.9999999,0.5259467616,0.2546505726,3008.89,5
7,1.2121230561,0.0556320899,0.9999999,0.5257454498,0.254048124,2995.968,5
7,1.0631731422,0.0506154136,0.9999999,0.5486615273,0.260506987,3021.16,5
7,1.1717150866,0.0487281754,0.9999999,0.5067464117,0.254048124,3054.246,5
8,1.1304735167,0.0487281754,0.9999999,0.4877804038,0.2832872805,2935.782,5
7,1.2413941045,0.0487281754,0.9999999,0.5067464117,0.237771487,3051.656,5
7,1.0442841353,0.0487281754,0.9792068304,0.5024921921,0.254048124,3061.912,5
7,1.1260894109,0.048896123,0.9792068304,0.5024921921,0.237800134,3074.564,5
7,1.2061509399,0.0461503128,0.9792068304,0.4702117011,0.237800134,3087.718,5
6,1.1977671844,0.0442774517,0.9999999,0.470561769,0.2083085169,3021.256,5
7,1.3485726782,0.0411901403,0.9999999,0.4153843338,0.208690711,3002.774,5
7,1.2061509399,0.0461503128,0.9280038635,0.4702117011,0.2245890234,2968.728,5
6,1.2764586328,0.0452758656,0.9792068304,0.4702117011,0.2660058796,2960.434,5
7,1.2061509399,0.0514491398,0.9999999,0.4459988324,0.2098686623,3037.644,5
7,1.2061509399,0.0417424074,0.9999999,0.4702117011,0.2338121943,3017.902,5
8,1.3043370712,0.0473006757,0.9792068304,0.4702117011,0.2404797139,3112.92,5
9,1.3859558445,0.0473006757,0.9999999,0.4463880271,0.2679817288,2932.126,5
9,1.2410385344,0.0428633436,0.8712097964,0.4702117011,0.2380999977,2976.066,5
8,1.3043370712,0.0510126548,0.9792068304,0.416741686,0.2151312735,2968.596,5
7,1.463818932,0.0473006757,0.9907615961,0.4279453832,0.2211970989,3071.008,5
9,1.1816846966,0.0500132114,0.8928023408,0.4591261732,0.2404797139,2748.904,5
7,1.3001833438,0.0426783073,0.9823280846,0.5244739782,0.2257838329,3065.022,5
7,1.3043370712,0.0453798136,0.8738321598,0.4160150254,0.2162166707,2954.988,5
8,1.2523904506,0.0473006757,0.9628297323,0.4159964571,0.2210561844,3091.394,5
7,1.3043370712,0.0477873363,0.9999999,0.4363514284,0.2404797139,2982.074,5
7,1.3043370712,0.0460257774,0.9792068304,0.479039667,0.2201918934,3103.932,5
8,1.1655715932,0.0523705147,0.9391841705,0.4702117011,0.2404797139,2880.044,5
7,1.367644753,0.0521772982,0.9999999,0.48792821,0.2295774014,3021.108,5
8,1.2372520733,0.0416537555,0.8962301087,0.4229624274,0.2278922488,3042.492,5
9,1.3043370712,0.0449923684,0.9738183518,0.4498030682,0.2324774667,2997.786,5
